Team ID , Team  , Region , Country , Track , Kind , Size , Status , Year , Section
1319,Aachen,Europe,Germany,Measurement,Collegiate,20,Accepted,2014,overgrad
1585,Aachen,Europe,Germany,Manufacturing,Collegiate,24,Accepted,2015,overgrad
2020,Aachen,Europe,Germany,New Application,Collegiate,22,Accepted,2016,overgrad
2225,Aachen,Europe,Germany,Environment,Collegiate,20,Accepted,2017,overgrad
2702,Aachen,Europe,Germany,Diagnostics,Collegiate,20,Accepted,2018,overgrad
3013,Aachen,Europe,Germany,Environment,Collegiate,13,Accepted,2019,overgrad
3456,Aachen,Europe,Germany,Foundational Advance,Collegiate,19,Accepted,2020,overgrad
3774,Aachen,Europe,Germany,Foundational Advance,Collegiate,25,Accepted,2021,overgrad
4138,Aachen,Europe,Germany,Environment,Collegiate,33,Accepted,2022,overgrad
4744,Aachen,Europe,Germany,Bioremediation,Collegiate,29,Accepted,2023,overgrad
1443,Aalto-Helsinki,Europe,Finland,Entrepreneurship,Collegiate,11,Accepted,2014,undergrad
1655,Aalto-Helsinki,Europe,Finland,Energy,Collegiate,12,Accepted,2015,undergrad
1907,Aalto-Helsinki,Europe,Finland,Environment,Collegiate,13,Accepted,2016,overgrad
2342,Aalto-Helsinki,Europe,Finland,Therapeutics,Collegiate,13,Accepted,2017,overgrad
2647,Aalto-Helsinki,Europe,Finland,New Application,Collegiate,13,Accepted,2018,overgrad
3016,Aalto-Helsinki,Europe,Finland,Manufacturing,Collegiate,13,Accepted,2019,overgrad
3386,Aalto-Helsinki,Europe,Finland,Environment,Collegiate,13,Accepted,2020,overgrad
3793,Aalto-Helsinki,Europe,Finland,New Application,Collegiate,14,Accepted,2021,overgrad
4159,Aalto-Helsinki,Europe,Finland,Therapeutics,Collegiate,18,Accepted,2022,overgrad
4701,Aalto-Helsinki,Europe,Finland,Environment,Collegiate,17,Accepted,2023,overgrad
182,Aberdeen_Scotland,Europe,United Kingdom,New Application,Collegiate,21,Accepted,2009,iGEM
385,Aberdeen_Scotland,Europe,United Kingdom,New Application,Collegiate,17,Accepted,2010,iGEM
